date,price,open,high,low,vol.,change %,RSI_14,StochRSI,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR_14,DI_Plus,DI_Minus,ADX_14,CCI_20,Williams_%R,OBV,RSI_Oversold,RSI_Overbought,MACD_Bullish,Above_SMA200,Trend_Bullish,Market_Regime,Return_5D
2020-01-02,1.15932,"1,149.03",1.15932,1.14566,2410000000.0,1.32%,,,,,,1.15932,1.15932,0.0,0.0,0.0,,,,,,,,,,0.0,False,False,False,False,False,Bear,0.017751785529448227
2020-01-03,1.13684,"1,151.43",1.15571,1.12617,2930000000.0,-1.94%,,,,,,1.1571790476190476,1.1584384313725489,-0.0017932763532761964,-0.0003586552706552393,-0.001434621082620957,,,,,,,,,,-2930000000.0,False,False,False,False,False,Bear,0.04380563667710491
2020-01-06,1.11413,"1,125.32",1.12973,1.11212,2040000000.0,-2.00%,,,,,,1.1530791383219954,1.1567008458285273,-0.004989452683013873,-0.001284814753126966,-0.0037046379298869073,,,,,,,,,,-4970000000.0,False,False,False,False,False,Bear,0.07930851875454392
2020-01-07,1.126,"1,125.94",1.13387,1.12348,1780000000.0,1.07%,,,,,,1.1505001727675197,1.1554968910901537,-0.006489824990551618,-0.0023258168006118967,-0.004164008189939721,,,,,,,,,,-3190000000.0,False,False,False,False,False,Bear,0.07835701598579048
2020-01-08,1.12876,"1,109.61",1.13342,1.10746,2330000000.0,0.25%,,,,,,1.148429680122994,1.1544483855572065,-0.0073712012999838095,-0.0033348937004862795,-0.00403630759949753,,,,,,,,,,-860000000.0,False,False,False,False,False,Bear,0.0714323682625182
2020-01-09,1.1799,"1,152.36",1.18145,1.15236,3430000000.0,4.53%,,,,,,1.1514268534446137,1.155446488084375,-0.00389819184099216,-0.0034475533285874558,-0.00045063851240470434,,,,,,,,,,2570000000.0,False,False,False,False,False,Bear,0.025519111789134685
2020-01-10,1.18664,"1,182.51",1.1914,1.17701,3280000000.0,0.57%,,,,,,1.1547804864498885,1.1566697630614582,-0.0005950853777823006,-0.002877059738426425,0.0022819743606441244,,,,,,,,,,5850000000.0,False,False,True,False,False,Bear,0.023688734578305226
2020-01-13,1.20249,"1,195.95",1.209,1.19595,2880000000.0,1.34%,,,,,,1.1593242496451373,1.1584666350982638,0.003263987610519381,-0.0016488502686372638,0.004912837879156645,,,,,,,,,,8730000000.0,False,False,False,False,False,Bear,0.01971741968748164
2020-01-14,1.21423,"1,203.93",1.21504,1.19575,2570000000.0,0.98%,,,,,,1.1645533687265528,1.1606534337218612,0.007186805620037484,0.00011828090909768572,0.007068524710939798,,,,,,,,,,11300000000.0,False,False,False,False,False,Bear,0.017566688353936266
2020-01-15,1.20939,"1,212.33",1.21804,1.20442,3380000000.0,-0.40%,,,,,,1.1688235240859288,1.1625646716151217,0.00979224074863394,0.0020530728770049365,0.007739167871629003,,,,,,,,,,7920000000.0,False,False,False,False,False,Bear,0.014949685378579325
2020-01-16,1.21001,"1,213.78",1.22482,1.20763,3210000000.0,0.05%,,,,,,1.1727460456015546,1.1644252727282542,0.01177140227960094,0.003996738757524138,0.007774663522076802,,,,,,,,,,11130000000.0,False,False,False,False,False,Bear,0.0127189031495607
2020-01-17,1.21475,"1,216.19",1.21874,1.20597,2089999999.9999998,0.39%,,,,,,1.1767464222109303,1.1663987914447933,0.013566000034294978,0.005910591012878306,0.007655409021416672,,,,,,,,,,13220000000.0,False,False,False,False,False,Bear,0.005490841736982777
2020-01-20,1.2262,"1,218.79",1.22926,1.21879,2280000000.0,0.94%,,,,,,1.1814562867622702,1.1687439368783308,0.015730815938578724,0.00787463599801839,0.007856179940560334,,,,,,,,,,15500000000.0,False,False,False,False,False,Bear,-0.02014353286576409
2020-01-21,1.23556,"1,218.87",1.23804,1.21504,2800000000.0,0.76%,,,,,,1.1866090213563396,1.171364174647808,0.017994294884230655,0.009898567775260844,0.008095727108969811,,,,0.021932142857142862,,,,,-1.8992188696584769,18300000000.0,False,False,False,False,False,Bear,-0.030382984233869537
